//===== eAthena Script =======================================
//= Mapflag from a script in the NPC folder
//===== By: ==================================================
//= Epoque
//===== Current Version: =====================================
//= 1.0a [Epoque]
//===== Compatible With: =====================================
//=
//===== Description: =========================================
//=
//============================================================

//hunte	mapflag	noloot
//job_knt	mapflag	noloot
//job_prist	mapflag	noloot
//job_wiz	mapflag	noloot
//job_cru	mapflag	noloot
//monk_test	mapflag	noloot
//in_rogue	mapflag	noloot
//job_sage	mapflag	noloot
//job_soul	mapflag	noloot
//job_star	mapflag	noloot
//que_ng	mapflag	noloot

//Thieves have to gather some mushrooms. So they need loot
//job_thief1	mapflag	noloot

//------------------------- Normal Maps ---------------------------	mapflag	nodrop
	mapflag	nodrop
// 13.3 El Discastes	mapflag	nodrop
// -- 2009-12-09rdata_k.gpf	mapflag	nodrop
dicastes01	mapflag	nodrop
dicastes02	mapflag	nodrop
dic_in01	mapflag	nodrop
dic_fild01	mapflag	nodrop
dic_fild02	mapflag	nodrop
dic_dun01	mapflag	nodrop
dic_dun02	mapflag	nodrop
job3_gen01	mapflag	nodrop
job3_sha01	mapflag	nodrop
	mapflag	nodrop
// Localized Event Maps	mapflag	nodrop
//evt_zombie	mapflag	nodrop
//evt_coke	mapflag	nodrop
	mapflag	nodrop
// Unknown Maps	mapflag	nodrop
//ac_sl_area	mapflag	nodrop
//ac_cl_hall	mapflag	nodrop
//ac_cl_room	mapflag	nodrop
//jp_s_dun11	mapflag	nodrop
	mapflag	nodrop
// 14.1 Bifrost	mapflag	nodrop
// -- 2010-06-09rdata_x.gpf	mapflag	nodrop
mora	mapflag	nodrop
bif_fild01	mapflag	nodrop
bif_fild02	mapflag	nodrop
1@mist	mapflag	nodrop
	mapflag	nodrop
// Dewata Maps	mapflag	nodrop
// -- 2010-09-15rdata_x.gpf	mapflag	nodrop
dewata	mapflag	nodrop
dew_in01	mapflag	nodrop
dew_fild01	mapflag	nodrop
dew_dun01	mapflag	nodrop
dew_dun02	mapflag	nodrop
	mapflag	nodrop
// ???	mapflag	nodrop
// -- 2010-10-06rdata_x.gpf	mapflag	nodrop
que_house_s	mapflag	nodrop
	mapflag	nodrop
// Malangdo Maps	mapflag	nodrop
// -- 2010-11-03rdata_x.gpf	mapflag	nodrop
malangdo	mapflag	nodrop
mal_in01	mapflag	nodrop
mal_in02	mapflag	nodrop
mal_dun01	mapflag	nodrop
1@pump	mapflag	nodrop
2@pump	mapflag	nodrop
1@cash	mapflag	nodrop
	mapflag	nodrop
// Undersea Tunnel Expansion	mapflag	nodrop
// -- 2010-11-10rdata_x.gpf	mapflag	nodrop
iz_dun05	mapflag	nodrop
	mapflag	nodrop
// ???	mapflag	nodrop
// -- 2010-12-01data_x.gpf	mapflag	nodrop
evt_mobroom	mapflag	nodrop
	mapflag	nodrop
// ???	mapflag	nodrop
dic_dun03	mapflag	nodrop
//mjolnir_04_1	mapflag	nodrop
//evt_swar_b	mapflag	nodrop
//evt_swar_r	mapflag	nodrop
//evt_swar_s	mapflag	nodrop
//evt_swar_t	mapflag	nodrop
	mapflag	nodrop
// Lighthalzen Dungeon F4, Wolfchev's Laboratory	mapflag	nodrop
// -- 2011-03-16rdata_x.gpf	mapflag	nodrop
1@lhz	mapflag	nodrop
lhz_dun04	mapflag	nodrop
que_lhz	mapflag	nodrop
	mapflag	nodrop
//------------------------- Clone Maps ---------------------------	mapflag	nodrop
//------------------------- Extra Maps ---------------------------	mapflag	nodrop
	mapflag	nodrop
// Ragnarok World Championship 2004	mapflag	nodrop
// Requires: RWC 2004 Client	mapflag	nodrop
// or Akaru's SuperGRF 1.64 or newer	mapflag	nodrop
rwc01	mapflag	nodrop
rwc02	mapflag	nodrop
rwc03	mapflag	nodrop
2009rwc_01	mapflag	nodrop
2009rwc_02	mapflag	nodrop
2009rwc_03	mapflag	nodrop
2009rwc_04	mapflag	nodrop
2009rwc_f01	mapflag	nodrop
	mapflag	nodrop
//Christmas & Sakura Special	mapflag	nodrop
//Requires Akaru's SuperGRF 1.1 or newer	mapflag	nodrop
//prontera_x	mapflag	nodrop
//alberta_x	mapflag	nodrop
//aldebaran_x	mapflag	nodrop
//geffen_x	mapflag	nodrop
//izlude_x	mapflag	nodrop
//prt_church_x	mapflag	nodrop
//prontera_s	mapflag	nodrop
//pay_arche_s	mapflag	nodrop
	mapflag	nodrop
//Fenced Lutie	mapflag	nodrop
//Requires Akaru's SuperGRF 1.23 or newer	mapflag	nodrop
//xmas_old	mapflag	nodrop
	mapflag	nodrop
//Alpha Maps	mapflag	nodrop
//Requires adata.grf containing alpha maps and data	mapflag	nodrop
//fay_vilg00	mapflag	nodrop
//fay_vilg01	mapflag	nodrop
//gef_vilg00	mapflag	nodrop
//gef_vilg01	mapflag	nodrop
//moc_dugn01	mapflag	nodrop
//moc_dugn02	mapflag	nodrop
//moc_fild01	mapflag	nodrop
//moc_fild02	mapflag	nodrop
//moc_fild03	mapflag	nodrop
//moc_fild04	mapflag	nodrop
//moc_intr00	mapflag	nodrop
//moc_intr01	mapflag	nodrop
//moc_intr02	mapflag	nodrop
//moc_intr04	mapflag	nodrop
//moc_vilg00	mapflag	nodrop
//moc_vilg01	mapflag	nodrop
//moc_vilg02	mapflag	nodrop
//probemap	mapflag	nodrop
//probemap02	mapflag	nodrop
//prt_cstl01	mapflag	nodrop
//prt_dugn00	mapflag	nodrop
//prt_dugn01	mapflag	nodrop
//prt_fild00	mapflag	nodrop
//prt_fild01	mapflag	nodrop
//prt_fild03	mapflag	nodrop
//prt_fild04	mapflag	nodrop
//prt_fild05	mapflag	nodrop
//prt_intr01	mapflag	nodrop
//prt_intr01_a	mapflag	nodrop
//prt_intr02	mapflag	nodrop
//prt_vilg00	mapflag	nodrop
//prt_vilg01	mapflag	nodrop
//prt_vilg02	mapflag	nodrop
//tank_test	mapflag	nodrop
//tank_test2	mapflag	nodrop
//test	mapflag	nodrop
	mapflag	nodrop
// Custom GaiaRo	mapflag	nodrop
airwog	mapflag	nodrop
maze	mapflag	nodrop
force_ele	mapflag	nodrop
prt_are02	mapflag	nodrop
prt_are03	mapflag	nodrop
	mapflag	nodrop
morold	mapflag	nodrop
morold_in	mapflag	nodrop
old_ruins	mapflag	nodrop
	mapflag	nodrop
// Region Arenas	mapflag	nodrop
region_1	mapflag	nodrop
region_2	mapflag	nodrop
region_3	mapflag	nodrop
region_4	mapflag	nodrop
region_5	mapflag	nodrop
region_6	mapflag	nodrop
region_7	mapflag	nodrop
region_8	mapflag	nodrop
region_9	mapflag	nodrop
region_10	mapflag	nodrop
region_11	mapflag	nodrop
region_12	mapflag	nodrop
region_13	mapflag	nodrop
	mapflag	nodrop
// Sistema de Alquiler	mapflag	nodrop
rent_ma	mapflag	nodrop
rent_mb	mapflag	nodrop
rent_mc	mapflag	nodrop
rent_md	mapflag	nodrop
rent_me	mapflag	nodrop
rent_mf	mapflag	nodrop
rent_mg	mapflag	nodrop
renta1	mapflag	nodrop
renta2	mapflag	nodrop
renta3	mapflag	nodrop
renta4	mapflag	nodrop
renta5	mapflag	nodrop
renta6	mapflag	nodrop
renta7	mapflag	nodrop
renta8	mapflag	nodrop
renta9	mapflag	nodrop
renta10	mapflag	nodrop
renta11	mapflag	nodrop
renta12	mapflag	nodrop
renta13	mapflag	nodrop
renta14	mapflag	nodrop
renta15	mapflag	nodrop
renta16	mapflag	nodrop
renta17	mapflag	nodrop
renta18	mapflag	nodrop
renta19	mapflag	nodrop
renta20	mapflag	nodrop
renta21	mapflag	nodrop
renta22	mapflag	nodrop
rentb1	mapflag	nodrop
rentb2	mapflag	nodrop
rentb3	mapflag	nodrop
rentb4	mapflag	nodrop
rentb5	mapflag	nodrop
rentb6	mapflag	nodrop
rentb7	mapflag	nodrop
rentb8	mapflag	nodrop
rentb9	mapflag	nodrop
rentb10	mapflag	nodrop
rentb11	mapflag	nodrop
rentb12	mapflag	nodrop
rentb13	mapflag	nodrop
rentb14	mapflag	nodrop
rentb15	mapflag	nodrop
rentb16	mapflag	nodrop
rentb17	mapflag	nodrop
rentb18	mapflag	nodrop
rentb19	mapflag	nodrop
rentb20	mapflag	nodrop
rentb21	mapflag	nodrop
rentb22	mapflag	nodrop
rentb23	mapflag	nodrop
rentb24	mapflag	nodrop
rentb25	mapflag	nodrop
rentb26	mapflag	nodrop
rentb27	mapflag	nodrop
rentb28	mapflag	nodrop
rentb29	mapflag	nodrop
rentb30	mapflag	nodrop
rentb31	mapflag	nodrop
rentb32	mapflag	nodrop
rentb33	mapflag	nodrop
rentb34	mapflag	nodrop
rentb35	mapflag	nodrop
rentb36	mapflag	nodrop
rentb37	mapflag	nodrop
rentb38	mapflag	nodrop
rentb39	mapflag	nodrop
rentb40	mapflag	nodrop
rentb41	mapflag	nodrop
rentb42	mapflag	nodrop
rentb43	mapflag	nodrop
rentb44	mapflag	nodrop
rentb45	mapflag	nodrop
rentb46	mapflag	nodrop
rentb47	mapflag	nodrop
rentb48	mapflag	nodrop
rentb49	mapflag	nodrop
rentb50	mapflag	nodrop
rentb51	mapflag	nodrop
rentb52	mapflag	nodrop
rentb53	mapflag	nodrop
rentb54	mapflag	nodrop
rentb55	mapflag	nodrop
rentb56	mapflag	nodrop
rentb57	mapflag	nodrop
rentb58	mapflag	nodrop
rentb59	mapflag	nodrop
rentb60	mapflag	nodrop
rentc1	mapflag	nodrop
rentc2	mapflag	nodrop
rentc3	mapflag	nodrop
rentc4	mapflag	nodrop
rentc5	mapflag	nodrop
rentc6	mapflag	nodrop
rentc7	mapflag	nodrop
rentc8	mapflag	nodrop
rentc9	mapflag	nodrop
rentc10	mapflag	nodrop
rentc11	mapflag	nodrop
rentc12	mapflag	nodrop
rentc13	mapflag	nodrop
rentc14	mapflag	nodrop
rentc15	mapflag	nodrop
rentc16	mapflag	nodrop
rentc17	mapflag	nodrop
rentc18	mapflag	nodrop
rentc19	mapflag	nodrop
rentc20	mapflag	nodrop
rentc21	mapflag	nodrop
rentc22	mapflag	nodrop
rentd1	mapflag	nodrop
rentd2	mapflag	nodrop
rentd3	mapflag	nodrop
rentd4	mapflag	nodrop
rentd5	mapflag	nodrop
rentd6	mapflag	nodrop
rentd7	mapflag	nodrop
rentd8	mapflag	nodrop
rentd9	mapflag	nodrop
rentd10	mapflag	nodrop
rentd11	mapflag	nodrop
rentd12	mapflag	nodrop
rentd13	mapflag	nodrop
rentd14	mapflag	nodrop
rentd15	mapflag	nodrop
rentd16	mapflag	nodrop
rentd17	mapflag	nodrop
rentd18	mapflag	nodrop
rentd19	mapflag	nodrop
rentd20	mapflag	nodrop
rentd21	mapflag	nodrop
rentd22	mapflag	nodrop
rente1	mapflag	nodrop
rente2	mapflag	nodrop
rente3	mapflag	nodrop
rente4	mapflag	nodrop
rente5	mapflag	nodrop
rente6	mapflag	nodrop
rente7	mapflag	nodrop
rente8	mapflag	nodrop
rente9	mapflag	nodrop
rente10	mapflag	nodrop
rente11	mapflag	nodrop
rente12	mapflag	nodrop
rente13	mapflag	nodrop
rente14	mapflag	nodrop
rente15	mapflag	nodrop
rente16	mapflag	nodrop
rente17	mapflag	nodrop
rente18	mapflag	nodrop
rente19	mapflag	nodrop
rente20	mapflag	nodrop
rente21	mapflag	nodrop
rente22	mapflag	nodrop
rentf1	mapflag	nodrop
rentf2	mapflag	nodrop
rentf3	mapflag	nodrop
rentf4	mapflag	nodrop
rentf5	mapflag	nodrop
rentf6	mapflag	nodrop
rentf7	mapflag	nodrop
rentf8	mapflag	nodrop
rentf9	mapflag	nodrop
rentf10	mapflag	nodrop
rentf11	mapflag	nodrop
rentf12	mapflag	nodrop
rentf13	mapflag	nodrop
rentf14	mapflag	nodrop
rentf15	mapflag	nodrop
rentf16	mapflag	nodrop
rentf17	mapflag	nodrop
rentf18	mapflag	nodrop
rentf19	mapflag	nodrop
rentf20	mapflag	nodrop
rentf21	mapflag	nodrop
rentf22	mapflag	nodrop
rentg1	mapflag	nodrop
rentg2	mapflag	nodrop
rentg3	mapflag	nodrop
rentg4	mapflag	nodrop
rentg5	mapflag	nodrop
rentg6	mapflag	nodrop
rentg7	mapflag	nodrop
rentg8	mapflag	nodrop
rentg9	mapflag	nodrop
rentg10	mapflag	nodrop
rentg11	mapflag	nodrop
rentg12	mapflag	nodrop
rentg13	mapflag	nodrop
rentg14	mapflag	nodrop
rentg15	mapflag	nodrop
rentg16	mapflag	nodrop
rentg17	mapflag	nodrop
rentg18	mapflag	nodrop
rentg19	mapflag	nodrop
rentg20	mapflag	nodrop
rentg21	mapflag	nodrop
rentg22	mapflag	nodrop
rentina1	mapflag	nodrop
rentina2	mapflag	nodrop
rentina3	mapflag	nodrop
rentina4	mapflag	nodrop
rentina5	mapflag	nodrop
rentina6	mapflag	nodrop
rentina7	mapflag	nodrop
rentina8	mapflag	nodrop
rentina9	mapflag	nodrop
rentina10	mapflag	nodrop
rentina11	mapflag	nodrop
rentina12	mapflag	nodrop
rentina13	mapflag	nodrop
rentina14	mapflag	nodrop
rentina15	mapflag	nodrop
rentina16	mapflag	nodrop
rentina17	mapflag	nodrop
rentina18	mapflag	nodrop
rentina19	mapflag	nodrop
rentina20	mapflag	nodrop
rentina21	mapflag	nodrop
rentina22	mapflag	nodrop
rentinb1	mapflag	nodrop
rentinb2	mapflag	nodrop
rentinb3	mapflag	nodrop
rentinb4	mapflag	nodrop
rentinb5	mapflag	nodrop
rentinb6	mapflag	nodrop
rentinb7	mapflag	nodrop
rentinb8	mapflag	nodrop
rentinb9	mapflag	nodrop
rentinb10	mapflag	nodrop
rentinb11	mapflag	nodrop
rentinb12	mapflag	nodrop
rentinb13	mapflag	nodrop
rentinb14	mapflag	nodrop
rentinb15	mapflag	nodrop
rentinb16	mapflag	nodrop
rentinb17	mapflag	nodrop
rentinb18	mapflag	nodrop
rentinb19	mapflag	nodrop
rentinb20	mapflag	nodrop
rentinb21	mapflag	nodrop
rentinb22	mapflag	nodrop
rentinb23	mapflag	nodrop
rentinb24	mapflag	nodrop
rentinb25	mapflag	nodrop
rentinb26	mapflag	nodrop
rentinb27	mapflag	nodrop
rentinb28	mapflag	nodrop
rentinb29	mapflag	nodrop
rentinb30	mapflag	nodrop
rentinb31	mapflag	nodrop
rentinb32	mapflag	nodrop
rentinb33	mapflag	nodrop
rentinb34	mapflag	nodrop
rentinb35	mapflag	nodrop
rentinb36	mapflag	nodrop
rentinb37	mapflag	nodrop
rentinb38	mapflag	nodrop
rentinb39	mapflag	nodrop
rentinb40	mapflag	nodrop
rentinb41	mapflag	nodrop
rentinb42	mapflag	nodrop
rentinb43	mapflag	nodrop
rentinb44	mapflag	nodrop
rentinb45	mapflag	nodrop
rentinb46	mapflag	nodrop
rentinb47	mapflag	nodrop
rentinb48	mapflag	nodrop
rentinb49	mapflag	nodrop
rentinb50	mapflag	nodrop
rentinb51	mapflag	nodrop
rentinb52	mapflag	nodrop
rentinb53	mapflag	nodrop
rentinb54	mapflag	nodrop
rentinb55	mapflag	nodrop
rentinb56	mapflag	nodrop
rentinb57	mapflag	nodrop
rentinb58	mapflag	nodrop
rentinb59	mapflag	nodrop
rentinb60	mapflag	nodrop
rentinc1	mapflag	nodrop
rentinc2	mapflag	nodrop
rentinc3	mapflag	nodrop
rentinc4	mapflag	nodrop
rentinc5	mapflag	nodrop
rentinc6	mapflag	nodrop
rentinc7	mapflag	nodrop
rentinc8	mapflag	nodrop
rentinc9	mapflag	nodrop
rentinc10	mapflag	nodrop
rentinc11	mapflag	nodrop
rentinc12	mapflag	nodrop
rentinc13	mapflag	nodrop
rentinc14	mapflag	nodrop
rentinc15	mapflag	nodrop
rentinc16	mapflag	nodrop
rentinc17	mapflag	nodrop
rentinc18	mapflag	nodrop
rentinc19	mapflag	nodrop
rentinc20	mapflag	nodrop
rentinc21	mapflag	nodrop
rentinc22	mapflag	nodrop
rentind1	mapflag	nodrop
rentind2	mapflag	nodrop
rentind3	mapflag	nodrop
rentind4	mapflag	nodrop
rentind5	mapflag	nodrop
rentind6	mapflag	nodrop
rentind7	mapflag	nodrop
rentind8	mapflag	nodrop
rentind9	mapflag	nodrop
rentind10	mapflag	nodrop
rentind11	mapflag	nodrop
rentind12	mapflag	nodrop
rentind13	mapflag	nodrop
rentind14	mapflag	nodrop
rentind15	mapflag	nodrop
rentind16	mapflag	nodrop
rentind17	mapflag	nodrop
rentind18	mapflag	nodrop
rentind19	mapflag	nodrop
rentind20	mapflag	nodrop
rentind21	mapflag	nodrop
rentind22	mapflag	nodrop
rentine1	mapflag	nodrop
rentine2	mapflag	nodrop
rentine3	mapflag	nodrop
rentine4	mapflag	nodrop
rentine5	mapflag	nodrop
rentine6	mapflag	nodrop
rentine7	mapflag	nodrop
rentine8	mapflag	nodrop
rentine9	mapflag	nodrop
rentine10	mapflag	nodrop
rentine11	mapflag	nodrop
rentine12	mapflag	nodrop
rentine13	mapflag	nodrop
rentine14	mapflag	nodrop
rentine15	mapflag	nodrop
rentine16	mapflag	nodrop
rentine17	mapflag	nodrop
rentine18	mapflag	nodrop
rentine19	mapflag	nodrop
rentine20	mapflag	nodrop
rentine21	mapflag	nodrop
rentine22	mapflag	nodrop
rentinf1	mapflag	nodrop
rentinf2	mapflag	nodrop
rentinf3	mapflag	nodrop
rentinf4	mapflag	nodrop
rentinf5	mapflag	nodrop
rentinf6	mapflag	nodrop
rentinf7	mapflag	nodrop
rentinf8	mapflag	nodrop
rentinf9	mapflag	nodrop
rentinf10	mapflag	nodrop
rentinf11	mapflag	nodrop
rentinf12	mapflag	nodrop
rentinf13	mapflag	nodrop
rentinf14	mapflag	nodrop
rentinf15	mapflag	nodrop
rentinf16	mapflag	nodrop
rentinf17	mapflag	nodrop
rentinf18	mapflag	nodrop
rentinf19	mapflag	nodrop
rentinf20	mapflag	nodrop
rentinf21	mapflag	nodrop
rentinf22	mapflag	nodrop
renting1	mapflag	nodrop
renting2	mapflag	nodrop
renting3	mapflag	nodrop
renting4	mapflag	nodrop
renting5	mapflag	nodrop
renting6	mapflag	nodrop
renting7	mapflag	nodrop
renting8	mapflag	nodrop
renting9	mapflag	nodrop
renting10	mapflag	nodrop
renting11	mapflag	nodrop
renting12	mapflag	nodrop
renting13	mapflag	nodrop
renting14	mapflag	nodrop
renting15	mapflag	nodrop
renting16	mapflag	nodrop
renting17	mapflag	nodrop
renting18	mapflag	nodrop
renting19	mapflag	nodrop
renting20	mapflag	nodrop
renting21	mapflag	nodrop
renting22	mapflag	nodrop
